"MaterialID","MaterialName","Thickness","Width","Size","Material","MaterialStandardPrice","UnitOfMeasure","MaterialType"
"124ASH","1in X 2in X 4ft  Ash","1","2","1in X 2in X 4ft","Ash",2.8,"bdft","Wood"
"NF2-1/2","Finish Nail 2-1/2in",,,"2-1/2in","Finish Nail",0.125,"ea","Nails"
"1/2616PIN","1/2in X 6in X 16ft  Pine","1/2","6","1/2in X 6in X 16ft","Pine",12.0,"bdft","Wood"
"12410WAL","12in X 4in X 10ft  Walnut","12","4","12in X 4in X 10ft","Walnut",270.0,"bdft","Wood"
"5/81012PIN","5/8in X 10in X 12ft  Pine","5/8","10","5/8in X 10in X 12ft","Pine",17.25,"bdft","Wood"
"1-1/228ASH","1-1/2in X 2in X 8ft  Ash","1-1/2","2","1-1/2in X 2in X 8ft","Ash",8.4,"bdft","Wood"
"NUT100","Upholstery Tack 1in",,,,,0.1,"each","Nails"
"2812BIR","2in X 8in X 12ft  Birch","2","8","2in X 8in X 12ft","Birch",57.6,"bdft","Wood"
"5/41016ASH","5/4in X 10in X 16ft  Ash","5/4","10","5/4in X 10in X 16ft","Ash",70.0,"bdft","Wood"
"284PIN","2in X 8in X 4ft  Pine","2","8","2in X 8in X 4ft","Pine",16.0,"bdft","Wood"
"3/8310ASH","3/8in X 3in X 10ft  Ash","3/8","3","3/8in X 3in X 10ft","Ash",3.9375,"bdft","Wood"
"5/848ASH","5/8in X 4in X 8ft  Ash","5/8","4","5/8in X 4in X 8ft","Ash",6.44,"bdft","Wood"
"5/41210WAL","5/4in X 12in X 10ft  Walnut","5/4","12","5/4in X 12in X 10ft","Walnut",67.5,"bdft","Wood"
"1034CHE","10in X 3in X 4ft  Cherry","10","3","10in X 3in X 4ft","Cherry",75.0,"bdft","Wood"
"1/2310PIN","1/2in X 3in X 10ft  Pine","1/2","3","1/2in X 3in X 10ft","Pine",3.75,"bdft","Wood"
"1-1/21216OAK","1-1/2in X 12in X 16ft  Oak","1-1/2","12","1-1/2in X 12in X 16ft","Oak",115.2,"bdft","Wood"
"638OAK","6in X 3in X 8ft  Oak","6","3","6in X 3in X 8ft","Oak",72.0,"bdft","Wood"
"1/468CHE","1/4in X 6in X 8ft  Cherry","1/4","6","1/4in X 6in X 8ft","Cherry",6.0,"bdft","Wood"
"1/2124WAL","1/2in X 12in X 4ft  Walnut","1/2","12","1/2in X 12in X 4ft","Walnut",10.8,"bdft","Wood"
"4210ASH","4in X 2in X 10ft  Ash","4","2","4in X 2in X 10ft","Ash",35.0,"bdft","Wood"
"3/8816ASH","3/8in X 8in X 16ft  Ash","3/8","8","3/8in X 8in X 16ft","Ash",16.8,"bdft","Wood"
"5/424PIN","5/4in X 2in X 4ft  Pine","5/4","2","5/4in X 2in X 4ft","Pine",2.5,"bdft","Wood"
"12612WAL","12in X 6in X 12ft  Walnut","12","6","12in X 6in X 12ft","Walnut",486.0,"bdft","Wood"
"1/2316CHE","1/2in X 3in X 16ft  Cherry","1/2","3","1/2in X 3in X 16ft","Cherry",12.0,"bdft","Wood"
"6312CHE","6in X 3in X 12ft  Cherry","6","3","6in X 3in X 12ft","Cherry",135.0,"bdft","Wood"
"5/424BIR","5/4in X 2in X 4ft  Birch","5/4","2","5/4in X 2in X 4ft","Birch",3.0,"bdft","Wood"
"1/2210OAK","1/2in X 2in X 10ft  Oak","1/2","2","1/2in X 2in X 10ft","Oak",4.0,"bdft","Wood"
"6410OAK","6in X 4in X 10ft  Oak","6","4","6in X 4in X 10ft","Oak",120.0,"bdft","Wood"
"5/828BIR","5/8in X 2in X 8ft  Birch","5/8","2","5/8in X 2in X 8ft","Birch",2.76,"bdft","Wood"
"1/21010PIN","1/2in X 10in X 10ft  Pine","1/2","10","1/2in X 10in X 10ft","Pine",12.5,"bdft","Wood"
"3/8816BIR","3/8in X 8in X 16ft  Birch","3/8","8","3/8in X 8in X 16ft","Birch",14.4,"bdft","Wood"
"10816WAL","10in X 8in X 16ft  Walnut","10","8","10in X 8in X 16ft","Walnut",720.0,"bdft","Wood"
"1/284CHE","1/2in X 8in X 4ft  Cherry","1/2","8","1/2in X 8in X 4ft","Cherry",8.0,"bdft","Wood"
"184PIN","1in X 8in X 4ft  Pine","1","8","1in X 8in X 4ft","Pine",8.0,"bdft","Wood"
"NOW038","Oval Wire Nail 3/8in",,,,,0.0375,"each","Nails"
"2108ASH","2in X 10in X 8ft  Ash","2","10","2in X 10in X 8ft","Ash",56.0,"bdft","Wood"
"5/4108BIR","5/4in X 10in X 8ft  Birch","5/4","10","5/4in X 10in X 8ft","Birch",30.0,"bdft","Wood"
"664PIN","6in X 6in X 4ft  Pine","6","6","6in X 6in X 4ft","Pine",45.0,"bdft","Wood"
"638BIR","6in X 3in X 8ft  Birch","6","3","6in X 3in X 8ft","Birch",54.0,"bdft","Wood"
"1/2812BIR","1/2in X 8in X 12ft  Birch","1/2","8","1/2in X 8in X 12ft","Birch",14.4,"bdft","Wood"
"1-1/264ASH","1-1/2in X 6in X 4ft  Ash","1-1/2","6","1-1/2in X 6in X 4ft","Ash",12.6,"bdft","Wood"
"3/428WAL","3/4in X 2in X 8ft  Walnut","3/4","2","3/4in X 2in X 8ft","Walnut",5.4,"bdft","Wood"
"NST1/4","Staples 1/4in",,,"1/4in","Staples",0.0125,"ea","Nails"
"1-1/244OAK","1-1/2in X 4in X 4ft  Oak","1-1/2","4","1-1/2in X 4in X 4ft","Oak",9.6,"bdft","Wood"
"5/8104WAL","5/8in X 10in X 4ft  Walnut","5/8","10","5/8in X 10in X 4ft","Walnut",10.35,"bdft","Wood"
"NOW2","Oval Wire Nail 2in",,,"2in","Oval Wire Nail",0.1,"ea","Nails"
